,data_station,real_station,location,real_line
321,GLENAYR EMERGENCY EXIT,glencairn,Misc,YU
322,DANFORTH AND COXWELL,,Misc,
323,FINCH TO SHEPPARD WEST,finch,Misc,YU
324,VMC STATION,,Station,
325,VAUGHAN MC STATION,vaughan metro centre,Station,YU
326,EGLINTON POCKET,eglinton,Misc,YU
327,DOWNSVIEW PARK TO VMC,downsview park,Misc,YU
328,SHEPPARD WEST PORTAL,sheppard,Misc,
329,FINCH WEST STATION,finch west,Station,YU
330,PIONEER VILLAGE STATIO,pioneer village,Misc,YU
331,WILSON CAPITAL SHOP,wilson,Misc,YU
332,LEAVING YONGE-SHEPPARD,,Misc,
333,BAY LOWER,bay,Misc,BD
334,YONGE - UNIVERSITY BLO,,Misc,
335,KIPLING STATION TO KEN,kipling,Station,BD
336,TYSSE LINE,,Misc,
337,SHEPPARD WEST MIGRATI,sheppard,Misc,
338,UNION TO ST GEORGE,union,Misc,YU
339,LAWRENCE EAST TO ELLES,lawrence east,Misc,SRT
340,SUBWAY OPS BUILDING,,Misc,
341,EGLINTON WEST TO VMC,eglinton,Misc,YU
342,WARDEN TO KENNEDY STAT,kennedy,Misc,SRT
343,UNION STATION TO FINCH,union,Station,YU
344,OSSINGTON AND DUFFERIN,ossington,Misc,BD
345,LEAVING LAWRENCE EAST,lawrence,Misc,YU
346,MCCOWAN TO KENNEDY STA,mccowan,Misc,SRT
347,SEHPPARD STATION,,Station,
348,OAKVALE SUBSTATION,,Station,
349,DUFFERIN TO LANSDOWNE,dufferin,Misc,BD
350,WILSON TO EGLINTON,wilson,Misc,YU
351,DUNCAN SHOPS,dundas,Misc,YU
352,YU/DB/SHEPPARD SUBWAY,sheppard,Misc,
353,KING STATION TO UNION,king,Station,YU
354,GREENWOOD COMPLEX,greenwood,Misc,BD
355,LEAVING YONGE/SHEPPARD,,Misc,
356,GLENCAIRN TO ST GEORGE,glencairn,Misc,YU
357,ST CLAIR WEST TO EGLIN,st clair west,Misc,YU
358,SHEPPARD WEST MIGRATIO,sheppard,Misc,
359,ST CLAIR WEST TO DUPON,st clair west,Misc,YU
360,OLD MILL TO ISLINGTON,old mill,Misc,BD
361,SRT LINE,,Misc,
362,TRANSIT CONTROL,,Misc,
363,KING TO UNION,king,Misc,YU
364,LESLIE STATION(APPROAC,leslie,Station,SHP
365,OSGOODE POCKET,osgoode,Misc,YU
